Electoral District,Votes,Year,Candidate,Party
Ampara,108971,2024,Anura Kumara Dissanayake,NPP
Anuradhapura,285944,2024,Anura Kumara Dissanayake,NPP
Badulla,197283,2024,Anura Kumara Dissanayake,NPP
Batticaloa,38832,2024,Anura Kumara Dissanayake,NPP
Colombo,629963,2024,Anura Kumara Dissanayake,NPP
Galle,366721,2024,Anura Kumara Dissanayake,NPP
Gampaha,809410,2024,Anura Kumara Dissanayake,NPP
Hambantota,221913,2024,Anura Kumara Dissanayake,NPP
Jaffna,27086,2024,Anura Kumara Dissanayake,NPP
Kalutara,387764,2024,Anura Kumara Dissanayake,NPP
Kandy,394534,2024,Anura Kumara Dissanayake,NPP
Kegalle,247179,2024,Anura Kumara Dissanayake,NPP
Kurunegala,544763,2024,Anura Kumara Dissanayake,NPP
Matale,140544,2024,Anura Kumara Dissanayake,NPP
Matara,287662,2024,Anura Kumara Dissanayake,NPP
Monaragala,140269,2024,Anura Kumara Dissanayake,NPP
Nuwara Eliya,105057,2024,Anura Kumara Dissanayake,NPP
Polonnaruwa,130880,2024,Anura Kumara Dissanayake,NPP
Puttalam,207134,2024,Anura Kumara Dissanayake,NPP
Ratnapura,291708,2024,Anura Kumara Dissanayake,NPP
Trincomalee,49886,2024,Anura Kumara Dissanayake,NPP
Vanni,21412,2024,Anura Kumara Dissanayake,NPP
Ampara,200384,2024,Sajith Premadasa,SJB
Anuradhapura,202289,2024,Sajith Premadasa,SJB
Badulla,219674,2024,Sajith Premadasa,SJB
Batticaloa,139110,2024,Sajith Premadasa,SJB
Colombo,342108,2024,Sajith Premadasa,SJB
Galle,189555,2024,Sajith Premadasa,SJB
Gampaha,349550,2024,Sajith Premadasa,SJB
Hambantota,131503,2024,Sajith Premadasa,SJB
Jaffna,121177,2024,Sajith Premadasa,SJB
Kalutara,236307,2024,Sajith Premadasa,SJB
Kandy,323998,2024,Sajith Premadasa,SJB
Kegalle,185930,2024,Sajith Premadasa,SJB
Kurunegala,368290,2024,Sajith Premadasa,SJB
Matale,121803,2024,Sajith Premadasa,SJB
Matara,147462,2024,Sajith Premadasa,SJB
Monaragala,134238,2024,Sajith Premadasa,SJB
Nuwara Eliya,201814,2024,Sajith Premadasa,SJB
Polonnaruwa,100730,2024,Sajith Premadasa,SJB
Puttalam,173382,2024,Sajith Premadasa,SJB
Ratnapura,257721,2024,Sajith Premadasa,SJB
Trincomalee,120588,2024,Sajith Premadasa,SJB
Vanni,95422,2024,Sajith Premadasa,SJB
Ampara,86589,2024,Ranil Wickremesinghe,Independent
Anuradhapura,82152,2024,Ranil Wickremesinghe,Independent
Badulla,115138,2024,Ranil Wickremesinghe,Independent
Batticaloa,91132,2024,Ranil Wickremesinghe,Independent
Colombo,281436,2024,Ranil Wickremesinghe,Independent
Galle,107336,2024,Ranil Wickremesinghe,Independent
Gampaha,216028,2024,Ranil Wickremesinghe,Independent
Hambantota,33217,2024,Ranil Wickremesinghe,Independent
Jaffna,84558,2024,Ranil Wickremesinghe,Independent
Kalutara,143285,2024,Ranil Wickremesinghe,Independent
Kandy,162707,2024,Ranil Wickremesinghe,Independent
Kegalle,106510,2024,Ranil Wickremesinghe,Independent
Kurunegala,146520,2024,Ranil Wickremesinghe,Independent
Matale,53829,2024,Ranil Wickremesinghe,Independent
Matara,79249,2024,Ranil Wickremesinghe,Independent
Monaragala,35728,2024,Ranil Wickremesinghe,Independent
Nuwara Eliya,138619,2024,Ranil Wickremesinghe,Independent
Polonnaruwa,36908,2024,Ranil Wickremesinghe,Independent
Puttalam,60719,2024,Ranil Wickremesinghe,Independent
Ratnapura,145038,2024,Ranil Wickremesinghe,Independent
Trincomalee,40496,2024,Ranil Wickremesinghe,Independent
Vanni,52573,2024,Ranil Wickremesinghe,Independent
Ampara,800,2024,Dilith Jayaweera,MJP
Anuradhapura,3696,2024,Dilith Jayaweera,MJP
Badulla,3042,2024,Dilith Jayaweera,MJP
Batticaloa,211,2024,Dilith Jayaweera,MJP
Colombo,26356,2024,Dilith Jayaweera,MJP
Galle,8263,2024,Dilith Jayaweera,MJP
Gampaha,17143,2024,Dilith Jayaweera,MJP
Hambantota,2978,2024,Dilith Jayaweera,MJP
Jaffna,495,2024,Dilith Jayaweera,MJP
Kalutara,10261,2024,Dilith Jayaweera,MJP
Kandy,9098,2024,Dilith Jayaweera,MJP
Kegalle,4619,2024,Dilith Jayaweera,MJP
Kurunegala,7532,2024,Dilith Jayaweera,MJP
Matale,2835,2024,Dilith Jayaweera,MJP
Matara,7316,2024,Dilith Jayaweera,MJP
Monaragala,2286,2024,Dilith Jayaweera,MJP
Nuwara Eliya,2003,2024,Dilith Jayaweera,MJP
Polonnaruwa,1727,2024,Dilith Jayaweera,MJP
Puttalam,3003,2024,Dilith Jayaweera,MJP
Ratnapura,7629,2024,Dilith Jayaweera,MJP
Trincomalee,874,2024,Dilith Jayaweera,MJP
Vanni,229,2024,Dilith Jayaweera,MJP
